product_id,product_name,category,current_price,current_stock,total_sales_90d,total_revenue_90d,total_purchased_90d,sales_last_30d,sales_previous_30d,days_since_last_promo,last_promo_discount,promo_count_6months,rotation,sell_through_rate,stock_coverage_days,inventory_turnover,sales_trend,profit_margin,should_promote,applied_discount,actual_sales_lift,revenue_impact
45,Jeans Item 45,Jeans,109.99,38,1,109.99,24,0,0,15,0.286,0,0.042,0.026,3420.0,0.11,0.0,0.412,True,0.3,0.8,29.33
46,Shoes Item 46,Shoes,247.63,31,9,2228.7,31,4,2,265,0.0,0,0.29,0.225,310.0,1.16,1.0,0.527,True,0.276821431146603,0.776,576.45
47,Accessories Item 47,Accessories,67.73,69,5,338.63,48,1,1,361,0.0,2,0.104,0.068,1242.0,0.29,0.0,0.621,True,0.3,0.756,85.3
48,T-Shirts Item 48,T-Shirts,72.43,75,1,72.43,18,0,0,354,0.0,3,0.056,0.013,6750.0,0.05,0.0,0.364,True,0.29389653632901663,0.8,19.31
49,Shoes Item 49,Shoes,215.68,25,18,3882.28,42,4,4,22,0.054,3,0.429,0.419,125.0,2.88,0.0,0.454,True,0.1989584656105149,0.428,554.15
50,T-Shirts Item 50,T-Shirts,37.31,40,5,186.56,32,1,1,26,0.062,1,0.156,0.111,720.0,0.5,0.0,0.389,True,0.2928633105872012,0.787,48.92
51,T-Shirts Item 51,T-Shirts,68.97,25,24,1655.22,49,5,6,271,0.0,3,0.49,0.49,93.8,3.84,-0.167,0.574,True,0.0,0.0,0.0
52,Shoes Item 52,Shoes,124.31,21,7,870.15,28,2,1,326,0.0,2,0.25,0.25,270.0,1.33,1.0,0.564,True,0.2804670976846267,0.692,200.66
53,T-Shirts Item 53,T-Shirts,44.48,14,19,845.08,44,4,7,287,0.0,2,0.432,0.576,66.3,5.43,-0.429,0.377,True,0.13932865646199205,0.283,79.62
54,Accessories Item 54,Accessories,65.46,22,6,392.73,22,2,2,48,0.167,3,0.273,0.214,330.0,1.09,0.0,0.479,True,0.0,0.0,0.0
55,Dresses Item 55,Dresses,137.37,75,10,1373.66,48,3,2,303,0.0,0,0.208,0.118,675.0,0.53,0.5,0.381,True,0.0,0.0,0.0
56,Jackets Item 56,Jackets,358.23,13,37,13254.47,53,8,13,54,0.209,3,0.698,0.74,31.6,11.38,-0.385,0.384,True,0.16877881733101474,0.417,1842.09
57,Dresses Item 57,Dresses,163.43,30,2,326.85,16,0,0,314,0.0,0,0.125,0.062,1350.0,0.27,0.0,0.406,True,0.2970174575446567,0.8,87.16
58,Dresses Item 58,Dresses,205.16,23,7,1436.13,20,2,2,153,0.28,0,0.35,0.233,295.7,1.22,0.0,0.51,True,0.0,0.0,0.0
59,T-Shirts Item 59,T-Shirts,49.98,22,9,449.86,29,3,2,333,0.0,0,0.31,0.29,220.0,1.64,0.5,0.351,True,0.0,0.0,0.0
60,Shoes Item 60,Shoes,164.72,37,12,1976.68,24,5,2,151,0.062,2,0.5,0.245,277.5,1.3,1.5,0.37,True,0.2529789245271965,0.723,476.11
61,Dresses Item 61,Dresses,207.59,56,4,830.34,49,1,1,76,0.108,0,0.082,0.067,1260.0,0.29,0.0,0.526,True,0.29807794405196164,0.8,221.42
62,Shoes Item 62,Shoes,276.92,24,21,5815.39,52,7,6,323,0.0,3,0.404,0.467,102.9,3.5,0.167,0.419,True,0.19726112572545773,0.534,1035.46
63,T-Shirts Item 63,T-Shirts,32.66,71,0,0.0,43,0,0,171,0.046,0,0.0,0.0,999.0,0.0,0.0,0.562,True,0.28572511942193884,0.699,0.0
64,Jackets Item 64,Jackets,279.57,73,0,0.0,24,0,0,242,0.0,0,0.0,0.0,999.0,0.0,0.0,0.388,True,0.3,0.8,0.0
65,Jackets Item 65,Jackets,336.13,15,42,14117.33,65,15,18,268,0.0,1,0.646,0.737,32.1,11.2,-0.167,0.453,False,0.0,0.0,0.0
66,Shoes Item 66,Shoes,162.2,39,16,2595.13,31,3,4,118,0.262,3,0.516,0.291,219.4,1.64,-0.25,0.381,True,0.2616033854849635,0.726,627.84
67,Accessories Item 67,Accessories,75.12,23,44,3305.07,60,18,21,228,0.0,2,0.733,0.657,47.0,7.65,-0.143,0.485,False,0.0,0.0,0.0
68,Shoes Item 68,Shoes,124.26,23,39,4846.08,65,14,12,323,0.0,0,0.6,0.629,53.1,6.78,0.167,0.412,False,0.0,0.0,0.0
69,Dresses Item 69,Dresses,80.79,20,22,1777.32,44,10,7,361,0.0,0,0.5,0.524,81.8,4.4,0.429,0.526,True,0.0,0.0,0.0
70,Jeans Item 70,Jeans,72.68,5,53,3851.89,81,16,19,164,0.066,1,0.654,0.914,8.5,42.4,-0.158,0.549,False,0.0,0.0,0.0
71,Dresses Item 71,Dresses,243.38,21,62,15089.68,92,17,18,229,0.0,2,0.674,0.747,30.5,11.81,-0.056,0.413,False,0.0,0.0,0.0
72,Jeans Item 72,Jeans,91.44,25,27,2469.01,48,9,5,92,0.214,1,0.562,0.519,83.3,4.32,0.8,0.507,True,0.14603052243501302,0.233,191.91
73,Dresses Item 73,Dresses,136.84,18,21,2873.68,32,7,9,69,0.047,1,0.656,0.538,77.1,4.67,-0.222,0.61,True,0.15206890381037358,0.345,330.22
74,Jeans Item 74,Jeans,80.8,34,13,1050.36,27,5,3,111,0.167,3,0.481,0.277,235.4,1.53,0.667,0.38,True,0.0,0.0,0.0
75,Shoes Item 75,Shoes,208.74,71,3,626.21,30,1,0,237,0.0,2,0.1,0.041,2130.0,0.17,0.0,0.619,True,0.0,0.0,0.0
76,Dresses Item 76,Dresses,115.34,22,31,3575.56,48,14,13,25,0.078,1,0.646,0.585,63.9,5.64,0.077,0.459,True,0.0,0.0,0.0
77,Jackets Item 77,Jackets,294.76,11,22,6484.76,49,10,5,356,0.0,3,0.449,0.667,45.0,8.0,1.0,0.392,False,0.0,0.0,0.0
78,T-Shirts Item 78,T-Shirts,56.12,69,0,0.0,37,0,0,54,0.21,0,0.0,0.0,999.0,0.0,0.0,0.427,True,0.0,0.0,0.0
79,Jeans Item 79,Jeans,97.95,6,46,4505.85,58,12,9,160,0.159,1,0.793,0.885,11.7,30.67,0.333,0.523,False,0.0,0.0,0.0
80,Shoes Item 80,Shoes,85.45,32,28,2392.61,57,6,6,41,0.27,1,0.491,0.467,102.9,3.5,0.0,0.57,True,0.0,0.0,0.0
81,Accessories Item 81,Accessories,71.53,18,60,4291.69,74,12,14,207,0.0,2,0.811,0.769,27.0,13.33,-0.143,0.377,False,0.0,0.0,0.0
82,Jeans Item 82,Jeans,82.08,13,27,2216.2,59,11,7,241,0.0,1,0.458,0.675,43.3,8.31,0.571,0.493,False,0.0,0.0,0.0
83,Shoes Item 83,Shoes,101.05,29,30,3031.51,55,7,13,351,0.0,1,0.545,0.508,87.0,4.14,-0.462,0.637,True,0.0,0.0,0.0
84,Dresses Item 84,Dresses,211.06,5,57,12030.14,69,19,23,56,0.138,2,0.826,0.919,7.9,45.6,-0.174,0.596,False,0.0,0.0,0.0
85,Accessories Item 85,Accessories,15.2,38,11,167.19,48,3,4,319,0.0,0,0.229,0.224,310.9,1.16,-0.25,0.587,True,0.2808520266965428,0.709,39.49
86,Dresses Item 86,Dresses,191.99,34,14,2687.9,25,6,5,73,0.296,0,0.56,0.292,218.6,1.65,0.2,0.551,True,0.0,0.0,0.0
87,Dresses Item 87,Dresses,110.7,24,12,1328.37,26,4,3,190,0.0,3,0.462,0.333,180.0,2.0,0.333,0.641,True,0.19896856866629856,0.502,222.3
88,Shoes Item 88,Shoes,82.62,23,33,2726.56,58,12,8,202,0.0,0,0.569,0.589,62.7,5.74,0.5,0.373,True,0.14359499855072264,0.274,249.15
89,Dresses Item 89,Dresses,171.53,10,10,1715.28,32,4,3,325,0.0,2,0.312,0.5,90.0,4.0,0.333,0.611,True,0.0,0.0,0.0
90,Accessories Item 90,Accessories,59.96,58,10,599.6,49,2,2,332,0.0,0,0.204,0.147,522.0,0.69,0.0,0.494,True,0.2708674788427602,0.657,131.28
91,Dresses Item 91,Dresses,210.61,10,21,4422.74,58,5,4,156,0.089,1,0.362,0.677,42.9,8.4,0.25,0.439,False,0.0,0.0,0.0
92,Shoes Item 92,Shoes,205.49,24,18,3698.91,34,5,7,154,0.287,0,0.529,0.429,120.0,3.0,-0.286,0.586,True,0.0,0.0,0.0
93,Shoes Item 93,Shoes,295.94,32,10,2959.36,38,4,4,274,0.0,2,0.263,0.238,288.0,1.25,0.0,0.47,True,0.2692227678322008,0.769,758.53
94,Dresses Item 94,Dresses,111.69,24,4,446.78,20,1,1,23,0.278,1,0.2,0.143,540.0,0.67,0.0,0.508,True,0.0,0.0,0.0
95,Jeans Item 95,Jeans,128.24,12,14,1795.38,43,3,3,103,0.178,1,0.326,0.538,77.1,4.67,0.0,0.608,True,0.14564679064321517,0.295,176.76
96,Jeans Item 96,Jeans,71.66,31,1,71.66,39,0,0,39,0.165,2,0.026,0.031,2790.0,0.13,0.0,0.434,True,0.0,0.0,0.0
97,Shoes Item 97,Shoes,129.74,25,1,129.74,40,0,0,298,0.0,0,0.025,0.038,2250.0,0.16,0.0,0.647,True,0.0,0.0,0.0
98,Accessories Item 98,Accessories,55.85,17,7,390.95,22,2,1,276,0.0,3,0.318,0.292,218.6,1.65,1.0,0.589,True,0.26402326916376967,0.654,85.22
99,Jeans Item 99,Jeans,81.48,79,5,407.41,41,1,2,328,0.0,0,0.122,0.06,1422.0,0.25,-0.5,0.359,True,0.28515479469893784,0.777,105.54
100,Jeans Item 100,Jeans,80.58,21,3,241.73,32,1,1,309,0.0,1,0.094,0.125,630.0,0.57,0.0,0.436,True,0.3,0.712,57.37
101,Jackets Item 101,Jackets,122.54,49,2,245.08,20,0,0,333,0.0,3,0.1,0.039,2205.0,0.16,0.0,0.54,True,0.2841003891196272,0.8,65.35
102,Jackets Item 102,Jackets,168.65,36,2,337.3,18,0,0,207,0.0,1,0.111,0.053,1620.0,0.22,0.0,0.536,True,0.0,0.0,0.0
103,T-Shirts Item 103,T-Shirts,79.46,36,12,953.5,31,2,5,21,0.02,0,0.387,0.25,270.0,1.33,-0.6,0.447,True,0.2608162967123117,0.598,190.13
104,Shoes Item 104,Shoes,177.76,60,12,2133.17,49,2,5,171,0.09,3,0.245,0.167,450.0,0.8,-0.6,0.375,True,0.2861804485712454,0.8,568.85
105,Jeans Item 105,Jeans,138.12,66,4,552.5,42,1,1,276,0.0,2,0.095,0.057,1485.0,0.24,0.0,0.432,True,0.29637336025260175,0.8,147.33
106,Accessories Item 106,Accessories,32.03,34,1,32.03,38,0,0,74,0.056,0,0.026,0.029,3060.0,0.12,0.0,0.377,True,0.0,0.0,0.0
107,Jeans Item 107,Jeans,136.03,63,4,544.12,17,0,1,60,0.139,1,0.235,0.06,1417.5,0.25,-1.0,0.385,True,0.0,0.0,0.0
108,Jackets Item 108,Jackets,189.31,30,17,3218.29,41,4,7,78,0.137,3,0.415,0.362,158.8,2.27,-0.429,0.489,True,0.19582180335519875,0.488,523.05
109,Shoes Item 109,Shoes,137.08,15,26,3564.14,52,12,10,193,0.0,3,0.5,0.634,51.9,6.93,0.2,0.394,False,0.0,0.0,0.0
110,Jackets Item 110,Jackets,396.27,24,70,27738.59,83,21,30,256,0.0,3,0.843,0.745,30.9,11.67,-0.3,0.372,True,0.165301339432784,0.327,3027.71
111,Shoes Item 111,Shoes,200.53,19,11,2205.88,34,2,2,331,0.0,2,0.324,0.367,155.5,2.32,0.0,0.619,True,0.20466418327449898,0.436,320.46
112,Dresses Item 112,Dresses,200.54,66,3,601.62,42,1,0,98,0.166,1,0.071,0.043,1980.0,0.18,0.0,0.595,True,0.3,0.8,160.43
113,Jeans Item 113,Jeans,125.23,22,17,2128.98,31,6,5,252,0.0,3,0.548,0.436,116.5,3.09,0.2,0.573,True,0.19734621335825556,0.444,315.13
114,Jeans Item 114,Jeans,74.55,13,34,2534.72,51,11,7,257,0.0,2,0.667,0.723,34.4,10.46,0.571,0.416,False,0.0,0.0,0.0
115,Shoes Item 115,Shoes,77.05,39,9,693.45,31,4,2,38,0.128,3,0.29,0.188,390.0,0.92,1.0,0.571,True,0.28019379527572075,0.72,166.45
116,Dresses Item 116,Dresses,154.56,53,2,309.13,16,0,0,257,0.0,2,0.125,0.036,2385.0,0.15,0.0,0.435,True,0.2953538860747119,0.8,82.43
117,T-Shirts Item 117,T-Shirts,59.74,27,9,537.62,49,2,3,312,0.0,3,0.184,0.25,270.0,1.33,-0.333,0.462,True,0.2965212469859079,0.766,137.2
118,Shoes Item 118,Shoes,270.27,16,18,4864.9,58,4,5,42,0.077,0,0.31,0.529,80.0,4.5,-0.2,0.353,True,0.1539485592040043,0.333,539.48
119,Jackets Item 119,Jackets,391.55,31,11,4307.05,30,2,3,280,0.0,3,0.367,0.262,253.6,1.42,-0.333,0.599,True,0.2399485709035052,0.766,1099.86
120,Shoes Item 120,Shoes,108.55,9,53,5753.28,66,19,23,134,0.242,3,0.803,0.855,15.3,23.56,-0.174,0.609,False,0.0,0.0,0.0
121,Shoes Item 121,Shoes,117.34,9,26,3050.93,31,12,5,133,0.067,0,0.839,0.743,31.2,11.56,1.4,0.63,False,0.0,0.0,0.0
122,Accessories Item 122,Accessories,23.78,30,12,285.38,31,4,4,140,0.286,1,0.387,0.286,225.0,1.6,0.0,0.642,True,0.24016898319589974,0.619,58.87
123,Jeans Item 123,Jeans,104.0,39,17,1767.94,39,4,6,248,0.0,3,0.436,0.304,206.5,1.74,-0.333,0.552,True,0.23375602863157674,0.483,284.68
124,Accessories Item 124,Accessories,96.88,20,7,678.19,20,2,2,159,0.249,2,0.35,0.259,257.1,1.4,0.0,0.521,True,0.0,0.0,0.0
125,Dresses Item 125,Dresses,197.22,25,15,2958.29,38,5,3,234,0.0,1,0.395,0.375,150.0,2.4,0.667,0.65,True,0.0,0.0,0.0
126,Dresses Item 126,Dresses,227.29,72,0,0.0,27,0,0,338,0.0,1,0.0,0.0,999.0,0.0,0.0,0.471,True,0.3,0.8,0.0
127,Shoes Item 127,Shoes,277.32,64,2,554.63,37,0,0,324,0.0,2,0.054,0.03,2880.0,0.12,0.0,0.352,True,0.29465846139485596,0.8,147.9
128,Jackets Item 128,Jackets,273.58,12,15,4103.7,51,4,3,124,0.193,1,0.294,0.556,72.0,5.0,0.333,0.489,True,0.194533345982873,0.425,580.72
129,T-Shirts Item 129,T-Shirts,51.36,16,41,2105.56,55,10,14,314,0.0,3,0.745,0.719,35.1,10.25,-0.286,0.532,True,0.16251942954864373,0.312,219.26
130,Jeans Item 130,Jeans,94.21,23,30,2826.2,42,6,10,66,0.201,0,0.714,0.566,69.0,5.22,-0.4,0.591,True,0.14245230796624014,0.305,286.87
131,Jackets Item 131,Jackets,320.94,35,12,3851.26,32,2,3,122,0.054,0,0.375,0.255,262.5,1.37,-0.333,0.405,True,0.0,0.0,0.0
132,Dresses Item 132,Dresses,176.44,31,19,3352.42,55,8,6,187,0.0,1,0.345,0.38,146.8,2.45,0.333,0.384,True,0.0,0.0,0.0
133,Shoes Item 133,Shoes,258.41,28,1,258.41,23,0,0,135,0.252,3,0.043,0.034,2520.0,0.14,0.0,0.581,True,0.29022579991237096,0.8,68.91
134,Jackets Item 134,Jackets,238.65,13,13,3102.41,37,3,4,83,0.05,2,0.351,0.5,90.0,4.0,-0.25,0.611,True,0.20141432407370644,0.438,452.69
135,Shoes Item 135,Shoes,75.44,20,20,1508.74,47,5,6,268,0.0,0,0.426,0.5,90.0,4.0,-0.167,0.646,True,0.0,0.0,0.0
136,Accessories Item 136,Accessories,72.45,26,25,1811.16,58,5,7,316,0.0,2,0.431,0.49,93.6,3.85,-0.286,0.531,True,0.21622099169318695,0.395,238.48
137,Accessories Item 137,Accessories,91.01,10,22,2002.14,37,6,4,63,0.25,3,0.595,0.688,40.9,8.8,0.5,0.59,False,0.0,0.0,0.0
138,Jeans Item 138,Jeans,117.62,12,9,1058.54,27,3,2,273,0.0,1,0.333,0.429,120.0,3.0,0.5,0.551,True,0.20647356759397517,0.498,175.59
139,Dresses Item 139,Dresses,249.23,21,13,3240.01,27,2,6,301,0.0,2,0.481,0.382,145.4,2.48,-0.667,0.41,True,0.1838670579858688,0.52,562.09
140,Dresses Item 140,Dresses,131.15,42,4,524.58,17,1,0,19,0.221,3,0.235,0.087,945.0,0.38,0.0,0.512,True,0.2808383190908817,0.726,126.96
141,Shoes Item 141,Shoes,129.12,72,0,0.0,46,0,0,240,0.0,0,0.0,0.0,999.0,0.0,0.0,0.361,True,0.29052450279643377,0.796,0.0
142,Jeans Item 142,Jeans,81.51,39,9,733.63,22,3,3,325,0.0,1,0.409,0.188,390.0,0.92,0.0,0.626,True,0.2696863205929325,0.635,155.36
143,Accessories Item 143,Accessories,48.24,12,29,1398.92,57,11,10,148,0.042,2,0.509,0.707,37.2,9.67,0.1,0.441,False,0.0,0.0,0.0
144,Dresses Item 144,Dresses,134.83,22,20,2696.6,31,9,7,280,0.0,0,0.645,0.476,99.0,3.64,0.286,0.523,True,0.19254910764776384,0.372,334.77
145,Shoes Item 145,Shoes,260.75,15,24,6257.91,54,5,7,39,0.07,0,0.444,0.615,56.2,6.4,-0.286,0.515,True,0.14729991513320528,0.369,768.9
146,Accessories Item 146,Accessories,94.6,25,11,1040.58,43,2,2,144,0.195,2,0.256,0.306,204.5,1.76,0.0,0.466,True,0.26767129822367447,0.531,184.32
147,T-Shirts Item 147,T-Shirts,28.18,28,14,394.49,28,3,3,170,0.091,2,0.5,0.333,180.0,2.0,0.0,0.403,True,0.20472206697148745,0.335,44.11
148,Jackets Item 148,Jackets,399.08,55,3,1197.23,43,1,0,77,0.238,2,0.07,0.052,1650.0,0.22,0.0,0.485,True,0.0,0.0,0.0
149,Jeans Item 149,Jeans,97.27,74,4,389.09,36,1,1,260,0.0,1,0.111,0.051,1665.0,0.22,0.0,0.428,True,0.28548438822916,0.668,86.68
150,Accessories Item 150,Accessories,85.92,22,15,1288.74,37,3,4,202,0.0,2,0.405,0.405,132.0,2.73,-0.25,0.486,True,0.1839233032313698,0.377,161.96
151,T-Shirts Item 151,T-Shirts,32.0,54,7,223.97,32,2,2,56,0.236,0,0.219,0.115,694.3,0.52,0.0,0.39,True,0.0,0.0,0.0
152,Dresses Item 152,Dresses,240.28,29,0,0.0,43,0,0,246,0.0,0,0.0,0.0,999.0,0.0,0.0,0.598,True,0.2954539563939327,0.8,0.0
153,Dresses Item 153,Dresses,91.33,21,15,1369.96,38,5,6,347,0.0,3,0.395,0.417,126.0,2.86,-0.167,0.375,True,0.18288337343994696,0.352,160.73
154,Jeans Item 154,Jeans,61.09,77,7,427.63,35,2,3,225,0.0,2,0.2,0.083,990.0,0.36,-0.333,0.585,True,0.2764852372105109,0.726,103.53
155,T-Shirts Item 155,T-Shirts,26.15,13,29,758.41,37,9,7,63,0.077,3,0.784,0.69,40.3,8.92,0.286,0.582,False,0.0,0.0,0.0
156,Dresses Item 156,Dresses,243.17,13,12,2918.05,29,3,5,283,0.0,0,0.414,0.48,97.5,3.69,-0.4,0.626,True,0.20465998907580335,0.501,486.93
157,T-Shirts Item 157,T-Shirts,32.05,32,34,1089.54,59,7,10,348,0.0,3,0.576,0.515,84.7,4.25,-0.3,0.467,True,0.0,0.0,0.0
158,Jackets Item 158,Jackets,187.39,21,49,9182.3,61,19,14,46,0.095,2,0.803,0.7,38.6,9.33,0.357,0.604,False,0.0,0.0,0.0
159,Dresses Item 159,Dresses,172.48,23,19,3277.17,40,7,8,250,0.0,3,0.475,0.452,108.9,3.3,-0.125,0.403,True,0.21938678958098035,0.522,570.02
160,Jackets Item 160,Jackets,348.98,21,19,6630.62,42,7,6,203,0.0,0,0.452,0.475,99.5,3.62,0.167,0.503,True,0.0,0.0,0.0
161,Jeans Item 161,Jeans,73.64,9,47,3461.14,54,11,15,158,0.244,3,0.87,0.839,17.2,20.89,-0.267,0.568,True,0.13396712398348865,0.264,304.16
162,T-Shirts Item 162,T-Shirts,61.17,36,18,1100.98,40,4,5,27,0.162,3,0.45,0.333,180.0,2.0,-0.2,0.352,True,0.18141245419760957,0.324,118.75
